Wall time,Step,Value
1672348865.298817,137,2.423043224553112e-05
1672348865.5609524,138,2.411452805972658e-05
1672348865.8167238,139,2.398866490693763e-05
1672348866.069842,140,2.3908445655251853e-05
1672348866.3242779,141,2.3853603124734946e-05
1672348866.5799565,142,2.3740836695651524e-05
1672348866.856125,143,2.3715992938377894e-05
1672348867.0895138,144,2.3565911760670133e-05
1672348867.331708,145,2.3364662411040626e-05
1672348867.5786583,146,2.327222864551004e-05
1672348867.8138025,147,2.320774547115434e-05
1672348868.0697927,148,2.3071950636222027e-05
1672348868.3299131,149,2.30311543418793e-05
1672348868.5876932,150,2.3073645934346132e-05
1672348868.8538806,151,2.2873100533615798e-05
1672348869.0989332,152,2.273705104016699e-05
1672348869.3639348,153,2.2702102796756662e-05
1672348869.6654816,154,2.268560820084531e-05
1672348869.9830503,155,2.254471655760426e-05
1672348870.3428206,156,2.244540155516006e-05
1672348870.6435869,157,2.2360503862728365e-05
1672348870.9525025,158,2.2314668967737816e-05
1672348871.2248511,159,2.235245301562827e-05
1672348871.5037525,160,2.2250616893870756e-05
1672348871.9256248,161,2.2157648345455527e-05
1672348872.244921,162,2.2047437596484087e-05
1672348872.5350518,163,2.194868284277618e-05
1672348872.8171036,164,2.1907671907683834e-05
1672348873.1198893,165,2.1854117221664637e-05
1672348873.401433,166,2.1774714696221054e-05
1672348873.6793385,167,2.16763983189594e-05
1672348873.9673612,168,2.156224763893988e-05
1672348874.2036085,169,2.1487994672497734e-05
1672348874.4517708,170,2.14101055462379e-05
1672348874.7052755,171,2.142509401892312e-05
1672348875.0256968,172,2.1379011741373688e-05
1672348875.3849964,173,2.1245621610432863e-05
1672348875.6883478,174,2.1189240214880556e-05
1672348875.9873037,175,2.117228723363951e-05
1672348876.319622,176,2.111034882545937e-05
1672348876.6160116,177,2.1169085812289268e-05
1672348876.8992372,178,2.1018408006057143e-05
1672348877.163181,179,2.090420457534492e-05
1672348877.4157653,180,2.0917030269629322e-05
1672348877.6921806,181,2.0744066205224954e-05
1672348877.9621384,182,2.0736915757879615e-05
1672348878.2054102,183,2.0658375433413312e-05
1672348878.4785943,184,2.0620651412173174e-05
1672348878.740264,185,2.0555418814183213e-05
1672348879.0350103,186,2.049113936664071e-05
1672348879.325164,187,2.050607872661203e-05
1672348879.6352177,188,2.058164682239294e-05
1672348879.8963454,189,2.0324019715189934e-05
1672348880.1528072,190,2.0338362446636893e-05
1672348880.4136071,191,2.0225381376803853e-05
1672348880.6741233,192,2.0127863535890356e-05
1672348880.936188,193,2.0065426724613644e-05
1672348881.183022,194,2.0051638784934767e-05
1672348881.451186,195,2.00046142708743e-05
1672348881.719047,196,1.9904482542187907e-05
1672348881.9998477,197,1.9881284970324486e-05
1672348882.2525215,198,1.979327862500213e-05
1672348882.5223553,199,1.97957760974532e-05
1672348882.784065,200,1.9786710254265927e-05
